,school_name,address,score,district,grade
279,Clayton Child Care Center-Liberty,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
280,Kindercare,"7901 Oakmont Boulevard, Fort Worth, TX 76132",N/A,Private,PK
281,First Presbyterian Day School,"1000 Penn Street, Fort Worth, TX 76102",N/A,Private,PK
282,Ash Crescent Head Start Center,"1027 Ash Crescent Street, Fort Worth, TX 76104",N/A,Private,PK
283,Kids Our Love Learning Center,"1107 Roberts Cut Off Road, Fort Worth, TX 76114",N/A,Private,PK
284,Tender Love Christian Day Care,"1201 E Seminary Dr, Fort Worth, TX 76115",N/A,Private,PK
285,Polytechnic New Beginings DC,"1300 Conner Ave, Fort Worth, TX 76105",N/A,Private,PK
286,Little Tyke Child Care,"1312 Sycamore School Road, Fort Worth, TX 76134",N/A,Private,PK
287,Baylor All Sts Cc Pre-School,"1709 Enderly Place, Fort Worth, TX 76104",N/A,Private,PK
288,Calvary Learning Center,"1401 Oakhurst Scenic Drive, Fort Worth, TX 76111",N/A,Private,PK
289,Childtime,"1408 Morrison Drive, Fort Worth, TX 76112",N/A,Private,PK
290,Amaka Child Care Center,"1501 Stephenson Street, Fort Worth, TX 76102",N/A,Private,PK
291,Cca-Circle Park Share Care,"1519 Circle Park Boulevard, Fort Worth, TX 76164",N/A,Private,PK
292,Clayton Child Care Center,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
293,La Petite Academy,"1300 West Everman Parkway, Fort Worth, TX 76134",N/A,Private,PK
294,Happy Time Day School,"1813 Layton Street, Fort Worth, TX 76117",N/A,Private,PK
295,Northside Head Start Center,"1901 Harrington Avenue, Fort Worth, TX 76164",N/A,Private,PK
296,Montessori-Sundance Square,"201 Jones Street, Fort Worth, TX 76102",N/A,Private,PK
297,Wee School,"209 S Bluebonnet St, Fort Worth, TX 76179",N/A,Private,PK
298,Mother Goose Day Care Center,"2102 Prairie Avenue, Fort Worth, TX 76164",N/A,Private,PK
299,Our Miss Brooks Day Care Center,"2116 Amanda Avenue, Fort Worth, TX 76105",N/A,Private,PK
300,Roberson's Pre-School,"216 Coury Rd, Fort Worth, TX 76140",N/A,Private,PK
301,Saintsville Baptist Church Academy,"2200 Oak Hill Road, Fort Worth, TX 76112",N/A,Private,PK-5
302,Glorious Creations Academy,"2224 Garrison Avenue, Fort Worth, TX 76105",N/A,Private,PK-K
303,Clara Harden Head Start Child,"2409 Louisiana Ave, Fort Worth, TX 76104",N/A,Private,PK
304,Station Twelve Day Care Center,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
305,Diamond Hill Child Development Center,"2700 Meacham Boulevard, Fort Worth, TX 76137",N/A,Private,PK
306,University Methodist Pre-School,"2416 West Berry Street, Fort Worth, TX 76110",N/A,Private,PK
307,Royal Heritage Day Care Center,"2563 S Riverside Dr, Fort Worth, TX 76104",N/A,Private,PK
308,Teddy Care Learning Academy,"2617 Poplar Spring Road, Fort Worth, TX 76123",N/A,Private,PK
309,Reeve's Child Center,"2641 Avenue L, Fort Worth, TX 76105",N/A,Private,PK
310,St Stephen Presbyterian Day School,"2700 McPherson Avenue, Fort Worth, TX 76109",N/A,Private,PK
311,Camp Fire Child Development Center,"2700 Meacham Boulevard, Fort Worth, TX 76137",N/A,Private,PK
312,Kinderplatz Of Fine Arts,"2701 Riverglen Drive, Fort Worth, TX 76109",N/A,Private,PK
313,Jmac Youth Center-Tarrant Cty,"Po Box 19249, Fort Worth, TX 76119",N/A,Private,PK-K
314,A Educational Child Care,"2717 Putnam Street, Fort Worth, TX 76112",N/A,Private,PK-K
315,University Christian Wkdy School,"2720 S University Dr, Fort Worth, TX 76109",N/A,Private,PK
316,Twenty First Century Day Care,"2800 Briery Dr, Fort Worth, TX 76119",N/A,Private,PK
317,Like My Own Child Care,"2800 Mississippi Avenue, Fort Worth, TX 76104",N/A,Private,PK
318,Kidcare Child Care Center,"2800 Yeager Street, Fort Worth, TX 76112",N/A,Private,PK
319,Southeast Ymca Cdc,"2801 Miller Avenue, Fort Worth, TX 76105",N/A,Private,PK
320,YMCA Day Care-Sunrise,"2801 Miller Ave, Fort Worth, TX 76105",N/A,Private,PK
321,Teenie Tiny Toddlers Day Care,"2813 2825 E Rosedale, Fort Worth, TX 76105",N/A,Private,PK
322,Hugs & Kisses Too,"2821 Vaughn Boulevard, Fort Worth, TX 76105",N/A,Private,PK
323,Blanche Day Care Center,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
324,Agape Christian Childcare,"2929 Forest Ave, Fort Worth, TX 76112",N/A,Private,PK
325,Hillcrest Head Start Center,"2950 Roosevelt Avenue, Fort Worth, TX 76106",N/A,Private,PK
326,Dca-Gwen Gragg Head Start,"2400 East 1st Street, Fort Worth, TX 76111",N/A,Private,PK
327,Cca-Rickard Memorial Day Care,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
328,Salvation Army Extended Dc,"3023 Northwest 24th Street, Fort Worth, TX 76106",N/A,Private,PK
329,United Center-Polytechnic Dc,"3100 Avenue I, Fort Worth, TX 76105",N/A,Private,PK
330,Goldilocks & Three Bears Child Care Center,"3105 Santa Fe Trl, Fort Worth, TX 76116",N/A,Private,PK
331,Love and Care Nursery,"3109 Mitchell Blvd, Fort Worth, TX 76105",N/A,Private,PK
332,Primrose School-Eagle Ranch,"3125 Eagle Ranch Boulevard, Fort Worth, TX 76179",N/A,Private,PK-K
333,Cca-Reagan Child Development Center,"3200 Reagan Drive, Fort Worth, TX 76116",N/A,Private,PK-K
334,Middle School Bettys Home Day Care,"3201 Clovermeadow Dr, Fort Worth, TX 76123",N/A,Private,PK
335,All Gods Children,"3204 Chalmette Court, Fort Worth, TX 76140",N/A,Private,PK
336,Ft Worth Ymca A/S Pgrm-Sprngdl,"512 Lamar Street, Fort Worth, TX 76102",N/A,Private,PK
337,Bradley's School Care,"3304 Dryden Road, Fort Worth, TX 76109",N/A,Private,PK
338,Darby Academy,"3313 Las Vegas Trail, Fort Worth, TX 76116",N/A,Private,PK
339,Children's Early Development Center,"3328 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
340,Ambitious Minds Christian Lc,"4508 Forest Hill Circle, Fort Worth, TX 76140",N/A,Private,PK
341,Ywca Poly Tech Child Care Center,"512 West 4th Street, Fort Worth, TX 76102",N/A,Private,PK
342,Trinity Episcopal School,"3421 Bellaire Drive South, Fort Worth, TX 76109",N/A,Private,PK
343,Englewood Child Development Head Start,"3430 Fitzhugh Avenue, Fort Worth, TX 76105",N/A,Private,PK
344,Dare-The Daisy School,"3443 McCart Avenue, Fort Worth, TX 76110",N/A,Private,PK
345,Jackson's Place,"3134 Handley Drive, Fort Worth, TX 76112",N/A,Private,PK
346,Park Ridge Christian School,"3508 Bluesprings Dr, Fort Worth, TX 76123",N/A,Private,PK
347,Worth Heights Child Development Center,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
348,Sunrise Learning Center,"3600 Ramona Drive, Fort Worth, TX 76116",N/A,Private,PK
349,Dca-Ellis Head Start Cc,"3620 Modlin Avenue, Fort Worth, TX 76107",N/A,Private,PK
350,Samaritan Child Care Learning,"3700 Avenue M, Fort Worth, TX 76105",N/A,Private,PK-K
351,Summerfields Kindercare,"3800 Basswood Boulevard, Fort Worth, TX 76137",N/A,Private,PK
352,Ridglea Country Club Nursery,"3700 Bernie Anderson Avenue, Fort Worth, TX 76116",N/A,Private,PK
353,Marquita Kindercare,"3700 Marquita Drive, Fort Worth, TX 76116",N/A,Private,PK
354,Norma's Learning Center,"3721 South Littlejohn Avenue, Fort Worth, TX 76105",N/A,Private,PK
355,Hill Group Home Day Care,"3808 Alhambra Dr, Fort Worth, TX 76119",N/A,Private,PK
356,Small Wonders,"3812 Erath Street, Fort Worth, TX 76119",N/A,Private,PK
357,New Jerusalem Day Care,"3921 Vaughn Blvd, Fort Worth, TX 76119",N/A,Private,PK
358,Clayton Day Care-Heritage,"4001 Thompson Rd, Fort Worth, TX 76137",N/A,Private,PK
359,Jewish Education Agency,"4050 S Hulen St, Fort Worth, TX 76109",N/A,Private,PK
360,Charity Church Child Development Center,"409 W Kellis St, Fort Worth, TX 76115",N/A,Private,PK
361,Lake Breeze Drive Academy,"4116 Lake Breeze Court, Fort Worth, TX 76132",N/A,Private,PK
362,Mildred Haupt Pre-School,"4200 Camp Bowie Boulevard, Fort Worth, TX 76107",N/A,Private,PK
363,Champion Academy,"4200 S Freeway, Fort Worth, TX 76115",N/A,Private,PK
364,Hilltop Montessori Day School,"4201 Trail Lake Drive, Fort Worth, TX 76109",N/A,Private,PK
365,Save The Children Day Care Center,"4215 Avenue M, Fort Worth, TX 76105",N/A,Private,PK-K
366,Save Our Children Day Care,"42154217 Avenue M, Fort Worth, TX 76105",N/A,Private,PK
367,Clayton Yes,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
368,Lutheran Church/Cohcc,"4301 Miller Avenue, Fort Worth, TX 76119",N/A,Private,PK-K
369,East Side Ymca,"1500 Sandy Lane, Fort Worth, TX 76112",N/A,Private,PK
370,All My Childrens Learning Center,"4412 Strong Avenue, Fort Worth, TX 76105",N/A,Private,PK
371,Luv N Care,"4451 Boat Club Road, Fort Worth, TX 76135",N/A,Private,PK
372,Children's Courtyard Child Care Center,"4500 Alliance Gateway Freeway, Fort Worth, TX 76177",N/A,Private,PK
373,Naylor Children's Center,"4520 Frazier St, Fort Worth, TX 76115",N/A,Private,PK
374,Forest Hill Community Bible Ch,"4600 Forest Hill Circle, Fort Worth, TX 76140",N/A,Private,PK
375,Bethesda Child Development Center,"4700 North Beach Street, Fort Worth, TX 76137",N/A,Private,PK
376,Cca Barbara T Williams Cdc,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
377,Edge Park United Methodist Ps,"5616 Crowley Road, Fort Worth, TX 76134",N/A,Private,PK
378,Tammy's Loving Child Care,"4908 E Lancaster Ave, Fort Worth, TX 76103",N/A,Private,PK
379,Broadway Private School,"4918 Broadway Ave, Fort Worth, TX 76117",N/A,Private,PK
380,Miracle Of Learning Day Care,"4959 Old Mansfield Road, Fort Worth, TX 76119",N/A,Private,PK
381,Arborlawn Childrens Center,"5001 Briarhaven Rd, Fort Worth, TX 76109",N/A,Private,PK
382,Nanie's Child Care,"5004 Melinda Drive, Fort Worth, TX 76119",N/A,Private,PK
383,A Childs Place,"512 Lamar Street #400, Fort Worth, TX 76102",N/A,Private,PK-K
384,Southwest Ymca,"512 Lamar Street #400, Fort Worth, TX 76102",N/A,Private,PK
385,Bee & Bell Day Care Center,"5101 Wichita St, Fort Worth, TX 76119",N/A,Private,PK
386,Downtown YMCA Day Care,"512 Lamar St, Fort Worth, TX 76102",N/A,Private,PK
387,Ella C Mcfadden Ymca,"512 Lamar Street, Fort Worth, TX 76102",N/A,Private,PK
388,Mama Bear's Day Care,"512 North Cherry Lane, Fort Worth, TX 76108",N/A,Private,PK
389,Rosie K Malk Cdc,"512 West 4th Street, Fort Worth, TX 76102",N/A,Private,PK
390,Crosier Memorial Day Nursey,"5201 Wellesley Avenue, Fort Worth, TX 76107",N/A,Private,PK
391,Tots Haven,"5216 Helmick Avenue, Fort Worth, TX 76107",N/A,Private,PK
392,Rosedale Child Development Center,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
393,Middle School Pokey's Day Care,"5313 Miller Ave, Fort Worth, TX 76119",N/A,Private,PK
394,Primrose School-Columbus Trail,"5330 Columbus Trail, Fort Worth, TX 76123",N/A,Private,PK-K
395,Ft Worth Ymca A/S Pgrm-Okhrst,"512 Lamar Street #400, Fort Worth, TX 76102",N/A,Private,PK
396,Clayton CCC-Freedom,"5401 Wall Price, Fort Worth, TX 76137",N/A,Private,PK
397,La Petite Academy,"5432 Basswood Boulevard, Fort Worth, TX 76137",N/A,Private,PK
398,E Fort Worth Head Start Center,"5565 Truman Drive, Fort Worth, TX 76112",N/A,Private,PK
399,Greenbrier Child Care Center,"5701 Wedgwood Drive, Fort Worth, TX 76133",N/A,Private,PK
400,Westcreek Kindercare,"6017 Westcreek Drive, Fort Worth, TX 76133",N/A,Private,PK
401,3 D Daycare,"6930 South Freeway, Fort Worth, TX 76134",N/A,Private,PK-K
402,Child Time Learning Center,"6419 Woodstream Trl, Fort Worth, TX 76133",N/A,Private,PK
403,Little Peoples Academy,"652 Meadow Park Drive, Fort Worth, TX 76108",N/A,Private,PK
404,Temple Days Child Care Center,"6816 Randol Mill Road, Fort Worth, TX 76120",N/A,Private,PK
405,Kim's House,"6829 Alma St, Fort Worth, TX 76140",N/A,Private,PK
406,The Joshua School,"6901 Wichita Street, Fort Worth, TX 76140",N/A,Private,PK-K
407,Little Tyke-Meadowbrook,"6913 Brentwood Stair Road, Fort Worth, TX 76112",N/A,Private,PK
408,Little Tyke Creative Cc,"6913 Brentwood Stair Road, Fort Worth, TX 76112",N/A,Private,PK
409,Little Tyke Creative Childcare,"6923 Baker Boulevard, Fort Worth, TX 76118",N/A,Private,PK
410,First Class Day Care-White Set,"701 Sandell Drive, Fort Worth, TX 76108",N/A,Private,PK
411,New Generation Day Care Center,"Po Box 6773, Fort Worth, TX 76115",N/A,Private,PK
412,Lighthouse Christian Academy,"7200 Robertson Road, Fort Worth, TX 76135",N/A,Private,PK-K
413,South Hulen Kindercare,"7224 Kingswood Drive, Fort Worth, TX 76133",N/A,Private,PK
414,La Petite Academy #762,"7300 Forest Hill Drive, Fort Worth, TX 76140",N/A,Private,PK
415,Discovery Christian Pre-School,"7401 W Cleburne Rd, Fort Worth, TX 76133",N/A,Private,PK
416,Toddler's Den Day Care,"6408 Warrington Place, Fort Worth, TX 76112",N/A,Private,PK
417,Kinder Care,"7900 Parkwood Hill Boulevard, Fort Worth, TX 76137",N/A,Private,PK-K
418,First United Methodist Pre-School,"800 West 5th Street, Fort Worth, TX 76102",N/A,Private,PK
419,Cca-Fuller Head Start,"800 West Fuller Avenue, Fort Worth, TX 76115",N/A,Private,PK
420,I'M Unique Child Care,"807 Enon, Fort Worth, TX 76140",N/A,Private,PK
421,Endless Discoveries Cdc,"823 Towne Court, Fort Worth, TX 76179",N/A,Private,PK
422,Ymca-Ryan Family,"8250 McCart Avenue, Fort Worth, TX 76123",N/A,Private,PK
423,Western Hills Baptist Wkdy Preschool,"8500 Chapin Rd, Fort Worth, TX 76116",N/A,Private,PK
424,La Petite Academy #766,"8603 South Normandale Street, Fort Worth, TX 76116",N/A,Private,PK
425,Child Time Learning Center,"8701 Meadowbrook Boulevard, Fort Worth, TX 76120",N/A,Private,PK-K
426,Children's Courtyard Child Care Center,"2301 Western Center Boulevard, Fort Worth, TX 76131",N/A,Private,PK
427,North Fort Worth Day Care Center,"901 Northwest 30th Street, Fort Worth, TX 76106",N/A,Private,PK-K
428,Kids Place Child Development Center,"901 Southland Avenue, Fort Worth, TX 76104",N/A,Private,PK-K
429,Little Tykes Creative Learning Center,"902 Monroe St, Fort Worth, TX 76102",N/A,Private,PK
430,Discovery Early Learning Center,"9130 White Settlement Road, Fort Worth, TX 76108",N/A,Private,PK
431,Southside Day Care Center,"959 East Rosedale Street, Fort Worth, TX 76104",N/A,Private,PK
432,La Petite Academy #7561,"9917 White Settlement Road, Fort Worth, TX 76108",N/A,Private,PK
433,Amon Carter Dntwn Ymca,"512 Lamar Street #400, Fort Worth, TX 76102",N/A,Private,PK
434,Premier Academy Heritage,"4040 Heritage Trace Parkway, Fort Worth, TX 76244",N/A,Private,PK-K
435,Light Of World Day Care,"8750 Old Denton Road, Fort Worth, TX 76244",N/A,Private,PK-K
436,Juniors Junction,"2249 E Loop 820 N, Fort Worth, TX 76118",N/A,Private,PK
437,Kinderfrogs Day Care,"Tcu Box 297415, Fort Worth, TX 76129",N/A,Private,PK-K
438,Hope Works Christian Academy,"1701 Hemphill St., Fort Worth, TX 76110",N/A,Private,PK-12 & ungraded
439,Alter Discipline Campus,"5900 Hereford Drive, Fort Worth, TX 76179",N/A,Public district,1-12
440,Insights Learning Center,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,3-5
441,Middle Lvl Lrn Center,"4921 Benbrook Highway, Fort Worth, TX 76116",N/A,Public district,6-8
442,Metro Opportunity,"2720 Cullen Street, Fort Worth, TX 76107",N/A,Public district,9-12
443,Tarrant County J J A E P,"3131 Sanguinet Street, Fort Worth, TX 76107",N/A,Public district,4-12
444,Taks,"100 North University Drive, Fort Worth, TX 76107",N/A,Public district,9-12
445,Fort Worth Christian Middle School,"7517 Bogart Dr, Fort Worth, TX 76180",N/A,Private,PK-12
446,Primrose School Of Columbus Trail,"5330 Columbus Trail, Fort Worth, TX 76123",N/A,Private,PK-K
447,Primrose School At Eagle Ranch,"3125 Eagle Ranch Boulevard, Fort Worth, TX 76179",N/A,Private,PK-K
448,Silver Saddle Christian Academy,"6605 Silver Saddle Rd, Fort Worth, TX 76126",N/A,Private,"3-10, 12"
449,Stepping Stones Academy,"11655 Alta Vista Road, Fort Worth, TX 76244",N/A,Private,PK-K
450,Parkwood Hill KinderCare,"7900 Parkwood Hill Blvd., Fort Worth, TX 76137",N/A,Private,PK
451,Alliance Christian Academy,"13105 Harmon Rd, Fort Worth, TX 76177",N/A,Private,K-7
452,Mosaic Academy,"1400 College Avenue, Fort Worth, TX 76104",N/A,Private,PK-10
453,Renees Room 2 Grow Child Care,"6412 Brentwood Drive, Fort Worth, TX 76112",N/A,Private,PK
454,Isoke Early Learning Academy,"5728 Blackmore Avenue, Fort Worth, TX 76107",N/A,Private,PK
455,Compass Children's Academy,"10332 Westpoint Boulevard, Fort Worth, TX 76108",N/A,Private,PK
456,Magical Moments Day Care Center,"4328 Wilbarger Street, Fort Worth, TX 76119",N/A,Private,PK
457,Save Our Children Learning Center,"4217 Avenue M, Fort Worth, TX 76105",N/A,Private,PK-K
458,Primary Academy,"4823 Southwest Loop 820, Fort Worth, TX 76126",N/A,Private,PK
459,University Christian Weekday School,"2720 South University Drive, Fort Worth, TX 76109",N/A,Private,PK-K
460,Chatterbox Way Day Care,"4412 Trueland Drive, Fort Worth, TX 76119",N/A,Private,PK
461,Mamaws Child Care Center,"3029 Old Hickory Trail, Fort Worth, TX 76140",N/A,Private,PK
462,Kids Kreation No2,"Po Box 4246, Fort Worth, TX 76164",N/A,Private,PK
463,United Center Wesley,"3600 North Crump Street, Fort Worth, TX 76106",N/A,Private,PK
464,Clayton Cc-Alice Carlson Center,"3320 West Cantey Street, Fort Worth, TX 76109",N/A,Private,PK
465,Clayton Cc-Ft Worth Country,"1604 8th Avenue, Fort Worth, TX 76104",N/A,Private,PK
466,Kinder Care Learning Center #454,"3700 Marquita Drive, Fort Worth, TX 76116",N/A,Private,PK
467,Westside Family Ymca Day Care,"8201 Calmont Avenue, Fort Worth, TX 76116",N/A,Private,PK
468,Clayton Cc-Luella Merrett,"7325 Kermit Avenue, Fort Worth, TX 76116",N/A,Private,PK
469,Kinder Care Learning Center #100,"6017 Westcreek Drive, Fort Worth, TX 76133",N/A,Private,PK
470,Kinder Care Learning Center #300296,"7224 Kingswood Drive, Fort Worth, TX 76133",N/A,Private,PK
471,Kinder Care Learning Center #913,"3800 Basswood Boulevard, Fort Worth, TX 76137",N/A,Private,PK
472,Clayton Cc-Woodway Center,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
473,Love And Care Academy,"6255 Wichita Street, Fort Worth, TX 76119",N/A,Private,PK
474,Clayton Cc-North Hi Mount,"1604 8th Avenue, Fort Worth, TX 76104",N/A,Private,PK-K
475,Clayton Cc-South Hi Mount,"2747 8th Avenue, Fort Worth, TX 76110",N/A,Private,PK
476,Clayton Cc-Lily B Clayton Center,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK-K
477,Clayton Cc-Westcliff Center,"1604 8th Avenue, Fort Worth, TX 76104",N/A,Private,PK-K
478,Clayton Cc-South Hills Center,"1604 8th Avenue, Fort Worth, TX 76104",N/A,Private,PK-K
479,Clayton Cc-Westcreek Center,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
480,Clayton Cc-Como Montessori,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK-K
481,Northwest Ymca A/S Pgrm-M Jara,"5315 Boat Club Road, Fort Worth, TX 76135",N/A,Private,PK
482,Westside Ymca A/S Pgrm-W Park,"8201 Calmont Avenue, Fort Worth, TX 76116",N/A,Private,PK
483,Northwest Ymca /As Pgrm-Bryson,"5315 Boat Club Road, Fort Worth, TX 76135",N/A,Private,PK
484,Ymca Northwest A/S Pgrm-Gllnd,"5315 Boat Club Road, Fort Worth, TX 76135",N/A,Private,PK
485,Ymca Nw A/S Pgrm-Kirkpatrick,"5315 Boat Club Road, Fort Worth, TX 76135",N/A,Private,PK
486,East Side Ymca Day Camp,"1500 Sandy Lane, Fort Worth, TX 76112",N/A,Private,PK
487,Clayton Cc-N Ridge Center,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
488,Clayton Cc-Watuga Elementary School,"1604 8th Avenue, Fort Worth, TX 76104",N/A,Private,PK
489,Clayton Cc-Park View Center,"1604 8th Avenue, Fort Worth, TX 76104",N/A,Private,PK
490,Clayton Cc-Whitley Rd Elementary,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
491,Joyce Wynn's Child Development Center,"7374 Sleepy Ridge Circle, Fort Worth, TX 76133",N/A,Private,PK
492,In-Home Christian Academy,"2112 Fairview Street, Fort Worth, TX 76111",N/A,Private,PK
493,Glorias Open Arms Child Care Center,"1604 Pamela Lane, Fort Worth, TX 76112",N/A,Private,PK
494,Darlenes Montessori Child Care Center,"4601 Avoca Street, Fort Worth, TX 76132",N/A,Private,PK
495,Alternative Children's Child Care Center,"9065 John T White Road, Fort Worth, TX 76120",N/A,Private,PK
496,Necees Little Treasures Dc,"3951 Sycamore School Road, Fort Worth, TX 76133",N/A,Private,PK
497,Little Sprouts Pre-School,"13105 Harmon Road, Fort Worth, TX 76177",N/A,Private,PK
498,Basswood-Clayton,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
499,Rosedale V Head Start,"4244 East Rosedale Street, Fort Worth, TX 76105",N/A,Private,PK
500,Ymca Downtown New Lives Dcc,"4717 East Lancaster Avenue, Fort Worth, TX 76103",N/A,Private,PK
501,Montessori School On Camp Bowie,"1801 Ashland Avenue, Fort Worth, TX 76107",N/A,Private,PK-K
502,Diamond Road Head Start,"2526 Diamond Road, Fort Worth, TX 76106",N/A,Private,PK
503,Kinderfrogs Pre-School-Tcu,"Tcu Box 2974105, Fort Worth, TX 76129",N/A,Private,PK
504,Childrens Pl Creative Learning Center,"4220 Meadowbrook Drive, Fort Worth, TX 76103",N/A,Private,PK
505,Southside Early Head Start,"4230 East Rosedale Street, Fort Worth, TX 76105",N/A,Private,PK
506,Little Teapot Day Care Center,"4612 Granbury Road, Fort Worth, TX 76133",N/A,Private,PK
507,Cca Como Head Start,"4900 Horne Street, Fort Worth, TX 76107",N/A,Private,PK
508,Concord Christian Learning Center,"4962 Wichita Street, Fort Worth, TX 76119",N/A,Private,PK
509,Clayton Park Glen Extended Dc,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
510,Clayton Cc At Grace E Hardeman,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
511,Little Angels Home Learning Palace,"8281 Ederville Road, Fort Worth, TX 76120",N/A,Private,PK
512,Angel Montessori,"901 Page Avenue, Fort Worth, TX 76110",N/A,Private,PK
513,Ymca Child Watch Day Care,"519 Burton Hill Road, Fort Worth, TX 76114",N/A,Private,PK
514,Kids Gone Corporate,"600 South Blue Mound Road, Fort Worth, TX 76131",N/A,Private,PK
515,Child Care Associates,"3000 East Belknap Street, Fort Worth, TX 76111",N/A,Private,PK
516,Ridglea Presbyterian Church,"6201 Camp Bowie Boulevard, Fort Worth, TX 76116",N/A,Private,PK
517,Building Blocks Cdc I,"140 Expedition Drive, Fort Worth, TX 76108",N/A,Private,PK
518,Diamond Hill Cdc Head Start,"2412 Salisbury Street, Fort Worth, TX 76106",N/A,Private,PK
519,Olivia Liszt Child Care Center,"9924 Pack Saddle Trail, Fort Worth, TX 76108",N/A,Private,PK
520,Crane Child Care Center,"2720 Carten Street, Fort Worth, TX 76112",N/A,Private,PK
521,Terri Bormans Child Care Center,"8121 Union Lake Drive, Fort Worth, TX 76137",N/A,Private,PK
522,Brandi B Day Care,"2116 Bliss Road, Fort Worth, TX 76177",N/A,Private,PK
523,Hill Day Care,"8108 Cutter Hill Avenue, Fort Worth, TX 76134",N/A,Private,PK
524,Kiddy College Child Care Center-Fossil Creek,"5190 Western Center Boulevard, Fort Worth, TX 76137",N/A,Private,PK
525,John D Spicer Pre-Sch-Clayton,"4300 Estes Park Road, Fort Worth, TX 76137",N/A,Private,PK
526,Cambridge Christian Academy,"7700 Caribou Court, Fort Worth, TX 76137",N/A,Private,PK-K
527,School Works Day Care,"10452 Hideaway Trail, Fort Worth, TX 76131",N/A,Private,PK
528,Mrs Janneice's Child Care Center,"7104 Park Creek Drive, Fort Worth, TX 76137",N/A,Private,PK
529,Mckinney Memorial Bible Ch Elc,"4805 Arborlawn Drive, Fort Worth, TX 76109",N/A,Private,PK
530,Building Blocks Child Development Center,"700 West Bonds Ranch Road, Fort Worth, TX 76131",N/A,Private,PK
531,Dee's Place Child Care Center,"5429 Royal Birkdale Drive, Fort Worth, TX 76135",N/A,Private,PK
532,Zant Child Care Center,"7700 Black Bear Court, Fort Worth, TX 76137",N/A,Private,PK
533,Ss Noah Playcare Center,"10776 North Beach Street, Fort Worth, TX 76244",N/A,Private,PK
534,Tender Touch Infant Day Care,"3004 San Marcos Drive, Fort Worth, TX 76116",N/A,Private,PK
535,Shady Grove S/A Pgrm-Clayton,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
536,Child Study Cchild Care Center,"1300 West Lancaster Avenue, Fort Worth, TX 76102",N/A,Private,PK
537,Keller Harvel S/A Pgrm-Clayton,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
538,Reading Friends Child Care Center,"5228 Pershing Avenue, Fort Worth, TX 76107",N/A,Private,PK
539,Ymca S/A Pgrm-Eagle Mountain,"5315 Boat Club Road, Fort Worth, TX 76135",N/A,Private,PK
540,Bette Perot S/A Pgrm-Clayton,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
541,Children's Courtyard Child Care Center,"6200 Bryant Irvin Road, Fort Worth, TX 76132",N/A,Private,PK
542,Clayton Child Care Center-Porter,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
543,Willis Lane S/A Pgrm-Clayton,"1215 Country Club Lane, Fort Worth, TX 76112",N/A,Private,PK
544,Spanish School House Child Care Center-Ft Worth,"6201 Sunset Drive #600, Fort Worth, TX 76116",N/A,Private,PK
545,Trinity Baptist Day Care & Lc,"620 Churchill Road, Fort Worth, TX 76114",N/A,Private,PK
546,Kingdom Academy,"4650 Campus Drive, Fort Worth, TX 76119",N/A,Private,PK
547,Lena Pope Early Learning Center,"4812 Diaz Avenue, Fort Worth, TX 76107",N/A,Private,PK
548,Lil Soldiers Of Our Future Dc,"5832 East Berry Street, Fort Worth, TX 76119",N/A,Private,PK
549,Brilliant Minds Day Care Center,"6930 North Freeway Service Road West, Fort Worth, TX 76131",N/A,Private,PK
